"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEG35067",9.6154435420708,-1.09612208499124,1.312609483213,163.104268652188,5.89033787148193e-27,1.00261070152884e-26
"CEG35069",334.044455703385,0.150429202600676,0.887640102393493,182.328632483403,8.05953289578168e-31,1.47627391336585e-30
"CEG35070",27.8898246694597,1.72757895223453,0.90922540177266,159.948894833033,2.51707532470213e-26,4.23872703015226e-26
"CEG35072",2.37407396603544,-1.99879535066875,1.51179448206702,50.896463318871,8.58623670636627e-06,9.8763326600906e-06
"CEG35073",93.6818183114483,-1.59036030028772,0.939291172748621,863.944585290402,1.82690741598553e-174,2.75110763818998e-173
"CEG35074",82.4053385993181,-0.775635425968182,0.92659691268957,653.192351147498,1.73270917446027e-129,1.45912351533497e-128
"CEG35075",118.309905328403,-0.119453399081292,0.4738433725916,312.61995602353,1.32599457410178e-57,3.840853258317e-57
"CEG35076",550.915777168023,-0.636908471401456,0.264995681949685,582.669991933986,1.70217059312867e-114,1.17138621462618e-113
"CEG35077",150.636179931019,0.316596762059206,0.299057003814202,209.10801435435,2.97811350967189e-36,5.99463011854068e-36
"CEG35078",233.155628619496,-0.188295054270689,0.268325817977888,63.2112715954204,7.01623038554371e-08,8.35654126127844e-08
"CEG35079",2.19991235038428,0,1.48459871059585,58.0683023917534,5.40106010725402e-07,6.34136574691354e-07
"CEG35080",2.29100524085949,0,1.4743518284957,63.6124961925272,5.97300328611401e-08,7.12529748949295e-08
"CEG35081",370.863934083626,2.75269091064708,0.426414636771571,1205.40097962878,1.13170063708702e-247,4.03503291217656e-246
"CEG35082",4.29786021881961,0,1.44298291629724,51.7545967203522,6.20122733758153e-06,7.14710155961134e-06
"CEG35083",4.56046851607335,0,1.41463114801634,42.2241131075954,0.000207580001931263,0.000232827201605342
"CEG35084",450.808784866237,-0.573767582367358,0.580073497019381,480.073253318017,9.22486090297259e-93,4.61603673018175e-92
"CEG35085",124.282267934761,-0.904993100062616,0.501417550413626,365.785746696652,1.04329392985531e-68,3.63279714421871e-68
"CEG35086",14.3985842906311,1.79990397428604,1.45685898365216,97.5277912636226,3.83042056618251e-14,5.13611808580936e-14
"CEG35087",363.250437893481,-0.579515598100779,0.544393705598868,646.703271809151,4.16595981693352e-128,3.42480961186571e-127
"CEG35088",258.987862999943,0.0344430232531744,0.343251651162533,249.470960160013,1.59556799238387e-44,3.70725545516673e-44
"CEG35089",58.7865283841673,-0.954588541280916,1.26755472956545,516.783694028068,1.58688942634318e-100,8.92450995482983e-100
"CEG35090",86.3905935832168,-1.65312038589346,1.20292494816926,404.365442258619,8.36530763153917e-77,3.28051279668203e-76
"CEG35091",172.966086898855,-0.682634170583724,0.68813806388937,311.913780093295,1.86013344200122e-57,5.37222654729595e-57
"CEG35092",185.999613266536,1.0932940727882,0.349790983168007,57.3226674460352,7.23406511589136e-07,8.4748337436765e-07
"CEG35093",135.198153187968,0.582050883649567,0.369425756809864,88.5402601975064,1.85529711813676e-12,2.41118926917967e-12
"CEG35094",231.227671750615,-0.162463689441619,0.286500619675277,108.492394409418,3.13828348206092e-16,4.37725057975152e-16
"CEG35096",1553.30260901992,0.236836257267453,0.178983988559623,76.6482053978127,2.84848063567546e-10,3.54605642254872e-10
"CEG35097",53.8987454654064,0.623172586310346,0.477623835110569,64.8067596640105,3.69394651931297e-08,4.42306037859739e-08
"CEG35098",154.968250885121,1.33074279929604,0.393886836425593,254.849346598914,1.24374551393652e-45,2.9481375145162e-45
"CEG35099",107.259062852103,0.992625098655165,0.369813132528707,86.9797147863331,3.6170091991981e-12,4.67276117780941e-12
"CEG35100",227.969297544443,-0.30852661541,0.269742042386497,94.1416112679564,1.66370984941906e-13,2.20427347816623e-13
"CEG35101",75.4236934443938,0.972639958963107,0.410956166184726,60.6870861635111,1.9207475704871e-07,2.27013563270866e-07
"CEG35102",18.5468905454859,0,1.3966130455324,173.339870445693,5.21395103081323e-29,9.22568056323049e-29
"CEG35103",129.176143194714,-0.943545783551936,0.798919991253114,272.998547057206,2.22002651059474e-49,5.60259056301512e-49
"CEG35105",185.097308781247,0.321792839321651,0.345962787842074,101.691823001114,6.22974679993276e-15,8.4749451630502e-15
"CEG35106",952.097355520286,1.52660278708796,0.68332947748739,700.35635342529,1.56102451058162e-139,1.50800858380715e-138
"CEG35107",251.405159298964,0.0117030075916821,1.06690403608712,914.521661685932,2.74967628778694e-185,4.69278086448971e-184
"CEG35108",37.3522274381047,1.03538371985619,1.63283713055284,140.93767607733,1.50308225327533e-22,2.35287426218958e-22
"CEG35110",4.72494945734257,0,1.40534779683848,117.504810953249,5.7625762950882e-18,8.31484348744549e-18
"CEG35111",109.546490458985,1.87727648545694,1.03021886183542,388.214285894466,2.0662781821944e-73,7.73117823212169e-73
