"gene","cluster","foldchange_T5min_T15min","foldchange_T15min_T4h","foldchange_T4h_T8h","foldchange_T8h_T12h","foldchange_T12h_T24h","foldchange_T24h_T48h","foldchange_T48h_T72h","foldchange_T72h_T120h","foldchange_T120h_T221h","foldchange_T221h_T288h","foldchange_T288h_T290h","foldchange_T290h_T292h","foldchange_T292h_T294h","foldchange_T294h_T296h","foldchange_T296h_prim_T296h"
"CEG35206",1,1.03452542830775,10.8859745525714,2.91517109005366,-0.0933954957140108,0.510974627025279,-3.74638020658051,-2.67049128557872,-7.73495813411657,0,0,0,0,2.55399542789007,0.675341053108957,2.57034417570568
"CEG35595",1,-0.276052952761284,4.86333035035183,4.29277237689126,0.135324060924184,-0.945724386702859,-6.06241146580035,-3.97530011383385,-3.06485079943874,0.766632950264188,3.09502404939478,-0.77071256379436,0.44084589611973,-1.58308565734974,-0.143112837881994,1.42886688529384
"CEG36378",1,1.04797326127027,4.11083011103554,-2.62514179496807,-0.524800511709948,-0.900514738861821,-0.256591931003465,-1.02331617045908,-0.947701605597791,-0.242026693344504,-0.0391819890305516,-0.436600120924403,-0.301852068965781,0.47145954275771,1.13244137225705,1.80988654776381
"CEG36642",1,0.181976728473609,0.632499759822792,1.05068395369944,-0.343736839236717,-0.605110313129446,-2.75010557728078,0.092518191975385,-3.26778242389079,-0.921486984813223,0.297460927761602,0.506090491242589,0.503560461694198,0.571714645059371,0.458829085197369,-0.553680578853461
"CEG36786",1,0.257561323054785,3.56655355644568,2.04597340673894,-0.397962083838834,-0.342089807814979,-3.7202675806038,-1.72609678052229,-4.01466697525258,2.3924030540072,-0.0340442623654096,0.840047710091904,-1.02406686071779,0.137690763430488,-0.0586505880741138,-0.36203132049174
"CEG38416",1,0.0960700013345502,5.81381975201412,0.145904502858629,-0.160122043612879,-0.844207709880218,-2.12815808738226,-1.77977412346131,-6.06645541059169,3.33420040333966,0.711192102581104,0.336271616092112,-0.00400750389041082,0.288575909277132,-0.562515298886072,-0.35506818032083
"CEG38751",1,0.22939031476297,3.24263552898562,-0.379572382534038,-0.477579887759551,-0.456799485057896,-2.20423338453901,-0.702794601816703,-2.14335988983882,1.58741999999362,0.394112519135669,0.571297880844886,-0.235553453404899,-0.0703627347687689,-0.84016442148605,0.100533373937029
"CEG38951",1,0.0496822542736491,1.08537722691266,1.31807786096035,-0.503855195246969,0.287262434532252,-2.91466705085928,-0.56459862264352,-1.82957967090743,-1.67822266796747,-0.449752179342016,0.204283394417125,0.508126815468583,0.104489867854712,-0.377771715972403,-0.473632165951067
"CEG39160",1,0.568524914581946,9.97245273170539,0.436700124108647,-0.89982507745425,-1.14771191356591,-3.74172782812852,-2.83930870349102,-4.87552770037036,0.0341362446382327,1.52316795554431,0.0981563013973139,-0.0807568035511065,0.326461771899077,-0.122948162386619,2.01911438845982
"CEG39234",1,-0.14641727898778,1.48208774498874,-0.0545708833461392,-0.49976620782186,-0.275377342853866,-1.49642247458866,-1.17268069318179,-1.33668709449762,-5.10005304649523,1.36655643803038,-0.101664906357218,0.718911685462134,1.8344494751319,-1.22408540273983,-0.694563883394044
"CEG39529",1,0.102085615284636,5.1681162052375,-2.68084151874423,-0.592960268474341,-1.29849830779589,-1.7013053271582,-1.40891284438509,-4.82572858614713,1.63201888507131,1.34015189505165,0.459272635317186,-0.396924966039103,0.136219971508668,1.48784477830966,0.294180213534966
"CEG40697",1,-0.26451869119725,7.28261732071933,2.6446470762799,0.0534011500426406,0.0632244579348637,-4.12865741307693,-2.58848783853182,-5.46883754751684,-0.0919320383991228,0.170459112099161,0.299518906388815,-0.747425861132923,-0.0771236495300483,1.26669957755465,1.18629883681741
"CEG42021",1,-0.151796878318528,4.23307766615049,2.91031123776236,-0.0579672940032003,-0.013446391584026,-2.81955556423232,-4.13929238041619,-0.0395812721371212,-1.99904337989432,1.75953606985602,-0.737516837800123,-0.315087300870173,0.793993030603801,-1.15851374934893,-0.14317645219874
"CEG42064",1,0.558764585778307,5.09886090034407,0.842353400482546,-0.515912686583052,-0.446321545955247,-3.93360024467945,-1.6479112070411,-3.48660379018621,-0.0654889781724974,0.197893625901846,0.394088328562929,0.0587004640172032,0.407035822349499,0.0330996449824365,1.23946287051029
"CEG43721",1,-0.229669528117663,3.49320892423301,0.250782703314741,-0.267742049369701,-0.0885974564185487,-1.11758073393773,-1.11452896374311,-1.99666110300533,-2.06591641214867,0.141964146605001,0.417257341536343,0.756844760605845,0.461910779338538,0.886412224462959,-0.370732709206205
"CEG44871",1,0.512774690864309,8.42229613687323,0.472590721673485,-0.80624964846083,-1.10847055838912,-3.50515833019721,-1.83811855726734,-5.04900916510279,0,0.566457535323737,2.76727494916127,0.401725880535812,-1.06754577900539,1.56556724464826,1.40327654343631
"CEG45255",1,-1.53581870219252,6.06492379882073,-1.27555275767045,1.27147483162595,-1.22571480205492,-2.77018795696965,2.18065483606653,-4.09329901990207,-5.81512260379075,0.890699724379713,-1.70101029887744,1.96424338523036,0.211083347255866,1.06701029964549,2.19281274877286
"CEG45303",1,0.10990774073598,3.69850092138779,1.91810534753723,-0.311034244640901,-1.56404884549958,-2.22937672851165,-0.23390328999345,-0.132261107502564,-3.27105201980146,0.0404033280870174,0.55126218688771,0.711242149914693,-0.051877614433304,-2.38565318869274,0.585560294501507
"CEG45554",1,0.0181979796653222,3.26150144866875,2.00338063657277,-0.535960025352325,0.215925695047086,-2.62681621329286,-1.93448969473658,-0.97589799314614,-0.235361659739281,0.513693852043232,-1.0519095793789,-0.543586594486788,0.349393666452562,0.964449354416884,-0.0790706998053912
"CEG45767",1,-0.0537046205076643,4.61436926689534,2.83255374289905,-0.588365128824853,-1.19001802664388,-3.38813419963355,-0.740020834765971,-0.864994469824959,-2.76196413351965,0.840404946942388,0.106958095082367,0.226275277974806,1.92457346736084,-2.51259818064183,-0.191546424773835
"CEG45773",1,0.354967621746024,5.25681869407966,2.84977457304805,-0.552739949750402,-0.825212341682814,-2.93514321026178,-1.23275360465418,-0.219627388513837,-5.66874741637424,0.590998548968002,0.410720625236017,1.86050020553646,-0.155651248402882,-1.3205787357168,1.3425394965259
"CEG46165",1,0.431228806527962,4.24484533540697,1.88523128547,-0.786054511069702,-0.508706181165787,-3.79240771621803,-4.81971966077978,-2.53554179986104,-0.987488482569588,-0.0814780424968045,1.30464382900768,0.15417203327635,0.516481059901353,3.4458970831569,-0.272749640372803
"CEG47402",1,1.09537439599822,7.47272105298994,3.21041397059695,-0.227824672667985,-1.40964275279791,-3.91123353496863,-3.33179019688785,-5.05950347599224,-0.0902639303611229,-0.284828406011627,0.147400260707348,0.281407312393635,0.044406235528683,1.02936523064982,1.54468310296574
"CEG47561",1,0.372782607013678,0.0381990760247774,0.773144670644596,-0.528572292860554,-0.987002988177016,-1.57234535575362,-1.40318696601675,-2.00075731428308,-2.34373951431194,0.0651530781164283,0.910579296481092,-0.116603024897128,1.62888801215616,1.40333900913209,-0.820476028917639
"CEG47681",1,0.275037846968283,4.57504916423996,-0.442553921742368,-0.305462637260878,0.220820954892389,-1.62247189692729,-1.00841495228484,-2.13921412733468,-0.378018751039259,-0.310417946375822,0.269895601512336,-0.332294506556787,-0.713043119320343,1.17729434229186,-0.57486231575936
