"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEG35067",9.6154435420708,-0.604509222940381,0.456974245230973,163.104268652188,5.89033787148193e-27,1.00261070152884e-26
"CEG35069",334.044455703385,0.107333533775679,0.882113017686306,182.328632483403,8.05953289578168e-31,1.47627391336585e-30
"CEG35070",27.8898246694597,-0.0310293090361989,0.343090964753805,159.948894833033,2.51707532470213e-26,4.23872703015226e-26
"CEG35072",2.37407396603544,-1.869391482553,1.41730097049306,50.896463318871,8.58623670636627e-06,9.8763326600906e-06
"CEG35073",93.6818183114483,0.9628966061668,0.275031812806812,863.944585290402,1.82690741598553e-174,2.75110763818998e-173
"CEG35074",82.4053385993181,0.208428463942571,0.386140945773044,653.192351147498,1.73270917446027e-129,1.45912351533497e-128
"CEG35075",118.309905328403,0.0270856018356027,0.320537264221275,312.61995602353,1.32599457410178e-57,3.840853258317e-57
"CEG35076",550.915777168023,0.565558426927826,0.240628942019236,582.669991933986,1.70217059312867e-114,1.17138621462618e-113
"CEG35077",150.636179931019,-0.199847232616278,0.179058908561992,209.10801435435,2.97811350967189e-36,5.99463011854068e-36
"CEG35078",233.155628619496,-0.193578311779367,0.184806640659412,63.2112715954204,7.01623038554371e-08,8.35654126127844e-08
"CEG35079",2.19991235038428,-0.653355311391511,0.922669321211873,58.0683023917534,5.40106010725402e-07,6.34136574691354e-07
"CEG35080",2.29100524085949,1.10153456040899,1.05175439105265,63.6124961925272,5.97300328611401e-08,7.12529748949295e-08
"CEG35081",370.863934083626,0.524030641267528,0.293896216065263,1205.40097962878,1.13170063708702e-247,4.03503291217656e-246
"CEG35082",4.29786021881961,0.754583115593007,0.714666183446028,51.7545967203522,6.20122733758153e-06,7.14710155961134e-06
"CEG35083",4.56046851607335,-0.784278924228645,0.584824566793653,42.2241131075954,0.000207580001931263,0.000232827201605342
"CEG35084",450.808784866237,-0.0426181153192859,0.550524476400147,480.073253318017,9.22486090297259e-93,4.61603673018175e-92
"CEG35085",124.282267934761,0.530916722897699,0.391221265380236,365.785746696652,1.04329392985531e-68,3.63279714421871e-68
"CEG35086",14.3985842906311,-1.58119016996155,1.03104795876334,97.5277912636226,3.83042056618251e-14,5.13611808580936e-14
"CEG35087",363.250437893481,1.05254207071576,0.480604993875263,646.703271809151,4.16595981693352e-128,3.42480961186571e-127
"CEG35088",258.987862999943,-0.191955873599094,0.249988230309399,249.470960160013,1.59556799238387e-44,3.70725545516673e-44
"CEG35089",58.7865283841673,0.425457251100683,0.298012537964275,516.783694028068,1.58688942634318e-100,8.92450995482983e-100
"CEG35090",86.3905935832168,0.342217952215673,0.401195944412114,404.365442258619,8.36530763153917e-77,3.28051279668203e-76
"CEG35091",172.966086898855,-0.327551771848133,0.247853644167257,311.913780093295,1.86013344200122e-57,5.37222654729595e-57
"CEG35092",185.999613266536,-0.343925813679201,0.234173970524166,57.3226674460352,7.23406511589136e-07,8.4748337436765e-07
"CEG35093",135.198153187968,-0.132966106344343,0.23442176712946,88.5402601975064,1.85529711813676e-12,2.41118926917967e-12
"CEG35094",231.227671750615,0.541982932504031,0.197846927192246,108.492394409418,3.13828348206092e-16,4.37725057975152e-16
"CEG35096",1553.30260901992,0.199459891192997,0.159638230693238,76.6482053978127,2.84848063567546e-10,3.54605642254872e-10
"CEG35097",53.8987454654064,-0.325791342346746,0.203728554782048,64.8067596640105,3.69394651931297e-08,4.42306037859739e-08
"CEG35098",154.968250885121,-0.201324399856597,0.270042193614194,254.849346598914,1.24374551393652e-45,2.9481375145162e-45
"CEG35099",107.259062852103,-0.1679404507593,0.233493135950478,86.9797147863331,3.6170091991981e-12,4.67276117780941e-12
"CEG35100",227.969297544443,-0.0162431065356028,0.215831056597927,94.1416112679564,1.66370984941906e-13,2.20427347816623e-13
"CEG35101",75.4236934443938,-0.129449383305658,0.226853837069788,60.6870861635111,1.9207475704871e-07,2.27013563270866e-07
"CEG35102",18.5468905454859,0.0206269376852473,0.402299360478166,173.339870445693,5.21395103081323e-29,9.22568056323049e-29
"CEG35103",129.176143194714,-0.683225883602029,0.340097489907283,272.998547057206,2.22002651059474e-49,5.60259056301512e-49
"CEG35105",185.097308781247,-0.398107458664442,0.226661733253386,101.691823001114,6.22974679993276e-15,8.4749451630502e-15
"CEG35106",952.097355520286,-0.064356415461424,0.573746963685702,700.35635342529,1.56102451058162e-139,1.50800858380715e-138
"CEG35107",251.405159298964,-0.145811836415,0.336795294859478,914.521661685932,2.74967628778694e-185,4.69278086448971e-184
"CEG35108",37.3522274381047,-1.67767640755446,1.45307816709361,140.93767607733,1.50308225327533e-22,2.35287426218958e-22
"CEG35110",4.72494945734257,0.505960735418288,0.51065387086604,117.504810953249,5.7625762950882e-18,8.31484348744549e-18
"CEG35111",109.546490458985,0.135075170225083,0.685389436959949,388.214285894466,2.0662781821944e-73,7.73117823212169e-73
"CEG35112",255.471470208356,-0.250823519302926,0.280072148708653,216.912882393274,7.61320832222871e-38,1.57328166813897e-37
"CEG35113",66.2273510602004,0.54902466307351,0.227739570565588,200.113933057115,2.01438431462857e-34,3.92512090535024e-34
"CEG35114",82.863718176096,-0.0472367126427527,0.509027918695389,81.3187642617748,4.00549403825504e-11,5.07325585688349e-11
"CEG35115",212.059995872088,0.149737416039856,0.315806259758084,622.632239060247,5.49462808260588e-123,4.22917856027392e-122
"CEG35116",63.2461221134377,-0.924554088763054,0.259288718842932,650.700464595678,5.87591758169513e-129,4.90938283588105e-128
"CEG35119",4.34361913858866,0.555256360494818,0.776968265879364,101.628881816583,6.40365143157016e-15,8.70967360791606e-15
"CEG35120",332.151246848724,-0.201833846994873,0.162969635217227,1226.1089725551,4.02765521662253e-252,1.47719159807359e-250
"CEG35121",7.59681057833431,-0.211511905928117,0.514416444618563,69.0364772547938,6.62833201510783e-09,8.04577048775535e-09
"CEG35122",249.821337265977,0.0648942198761526,0.386200057102261,539.766057345422,2.14954095412771e-105,1.29661282812605e-104
"CEG35123",158.301419528795,0.155429571141755,0.486642269812601,291.211474748465,3.73636087337792e-53,1.00558072286033e-52
"CEG35124",29.2738824912008,0.148792889430186,0.459011200948182,291.359544464201,3.48113368206882e-53,9.37876470858364e-53
"CEG35125",20.2920239139574,0.143857425367463,0.428716684410882,171.814756077692,1.05608484292883e-28,1.85838410633613e-28
"CEG35126",18.1602734426641,0.557167280382066,0.52606350046677,223.569659963322,3.31580120686392e-39,7.03501664973615e-39
"CEG35127",14.1543626799588,-0.0777507624195835,0.503105196774414,193.764303021168,3.91644018542349e-33,7.49109897988951e-33
"CEG35128",487.424431893154,0.210820573627826,0.276732208720536,395.118543222935,7.33587089979701e-75,2.80128721710626e-74
"CEG35129",2726.5630670065,0.0103358684210815,0.215728547819229,509.19039827069,6.42376747910547e-99,3.53045185627093e-98
"CEG35130",19.6047821760899,-1.37400374526142,0.699546471458717,82.771274392824,2.16704147651282e-11,2.75781774700379e-11
"CEG35131",275.879097646337,-0.410034190373299,0.206839696025347,938.965675269837,1.60557780645645e-190,2.915091620233e-189
"CEG35132",127.292859534961,0.00961228348015834,0.22494313099114,195.777153665993,1.52991180450949e-33,2.9447926462739e-33
"CEG35133",47.572828235995,-0.630740118897129,0.480105549784855,74.9592562983354,5.75879080932662e-10,7.13093957234989e-10
"CEG35134",237.224567071001,-0.136277647688695,0.160281282657351,300.372283553121,4.67766226652422e-55,1.29822369929553e-54
"CEG35135",187.480103238703,0.0396542061084398,0.215909885157207,60.2124581943404,2.31856161984162e-07,2.7372799053655e-07
