"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEG48676",850.508009821932,-0.153692594033182,0.306571721105187,255.231340988383,1.03747170426672e-45,2.46192766307267e-45
"CEG48677",397.472498935204,-0.420177951479521,0.218012947062925,3321.87159704558,0,0
"CEG48679",271.610043137547,-0.245998187879504,0.414530765133179,421.217062513195,2.38718281159572e-80,9.92075973650167e-80
"CEG48680",118.313663504769,-0.398583756969654,0.335455622836211,56.005805977037,1.20902211027944e-06,1.41096672242677e-06
"CEG48681",186.679212498319,-0.308455249191298,0.452176185833665,288.844530641774,1.15757699473533e-52,3.09267074360513e-52
"CEG48682",145.13325996667,-0.199011835152401,0.431297795324378,267.564550763864,2.95129901857021e-48,7.28715807054373e-48
"CEG48683",225.663815649048,0.335714287973264,0.296865869917391,67.1847519720233,1.41031869655553e-08,1.70110057632027e-08
"CEG48685",1.98830402117344,-0.620831391895256,0.973571446846665,38.5400313098651,0.00075042512998683,0.000835110560235735
"CEG48687",381.274409052893,0.12512219771714,0.233860776370665,424.52714446689,4.79844555049833e-81,2.01708055981539e-80
"CEG48688",10.6163871605048,-0.732254508408531,0.433239000919473,37.1023669718927,0.00122266031448017,0.00135521752903933
"CEG48689",19.1476207107434,-0.282536474588621,0.395688262698902,121.535818812608,9.52342497025111e-19,1.394096976432e-18
"CEG48692",447.214335723985,-0.0244517128007912,0.384236796731954,459.108059574105,2.46597896919032e-88,1.14905463435151e-87
"CEG48693",14.8667539143219,-0.785274719590894,0.554626887972822,217.050548818181,7.13588187678427e-38,1.47559431377769e-37
"CEG48694",15.1579283699474,0.208379227245813,0.299304650885597,86.410683445841,4.6116718123962e-12,5.94634826218105e-12
"CEG48695",16.2315165377508,0,1.50668111132576,197.414496558049,7.1183977725196e-34,1.37574349219766e-33
"CEG48696",83.6449747717063,0.0190432060690274,0.279492264777325,347.902585385757,5.76766679169146e-65,1.89443507656276e-64
"CEG48702",134.418317046495,0.00181274739416987,0.675745221998545,387.743892676566,2.5937545792985e-73,9.69061839317596e-73
"CEG48707",163.873492704729,0.0319137286059234,0.163706842731228,314.776959350481,4.71452154378341e-58,1.3765026405207e-57
"CEG48712",3888.72288758877,-0.089958889910966,0.486161805415279,1367.72794940291,1.44864282107717e-282,7.15931587250494e-281
"CEG48713",1451.2861611743,-0.178883178466286,0.41272141777064,1808.45032184223,0,0
"CEG48714",21.4425123673854,-0.23467152191525,0.402042256681382,345.921214778084,1.49699976673494e-64,4.87448410435189e-64
"CEG48715",110.326143110142,0.694439876291348,0.443018883201528,127.633834145238,6.17221518659851e-20,9.22409274821493e-20
"CEG48716",36.2570144301423,0.798733838177419,0.244040999517727,921.439820523417,9.08343318397861e-187,1.57118844263414e-185
"CEG48717",27.7006373003979,0.265417669231883,0.278183585766665,283.199616195646,1.71401592513685e-51,4.48842140788702e-51
"CEG48718",17.7039907986598,0.311043036330315,0.508506818196611,110.925325523326,1.07091219566723e-16,1.50782929320652e-16
"CEG48719",11.8364678396476,-0.412077617859447,0.326935549250614,77.6080785871305,1.90673021975291e-10,2.38062298213395e-10
"CEG48720",824.709133578034,-0.502749607371717,0.448567934406215,813.395891599612,1.17068748214372e-163,1.55767149391264e-162
"CEG48721",237.859713099911,0.0611775018730013,0.249400908396828,133.940982942042,3.58748697633907e-21,5.47446748892943e-21
"CEG48722",127.528829481465,0.389731239014727,0.240970445666435,160.226314609,2.21555501006482e-26,3.73440928744136e-26
"CEG48723",1.54813099679427,-1.47049628097575,0.974102577953529,56.1305267708105,1.15177801602606e-06,1.34465145978963e-06
"CEG48724",17.8490491707455,-1.02651217754264,0.52838821489715,197.593851327313,6.54594270562752e-34,1.26606326128788e-33
"CEG48725",167.420415896422,0.0117796752215191,0.238000559805754,134.499358431827,2.786745602454e-21,4.26219903350595e-21
"CEG48726",299.969149230401,-0.199268009740544,0.39405173291325,793.463774334653,2.12219316237136e-159,2.71098527728078e-158
"CEG48727",550.719061228324,-0.186242255866895,0.255926237168222,1597.4189907409,0,0
"CEG48729",37.5432275088558,0.580849656792982,0.313056361341409,278.161233850833,1.89576350074904e-50,4.86288032256266e-50
"CEG48730",161.634357745683,0.291655716206213,0.262295155204122,333.076546287586,7.21500952164043e-62,2.24427999701087e-61
"CEG48731",90.8059315747877,-0.105863365514519,0.236127111463768,122.086434994204,7.44326003174293e-19,1.09121209948814e-18
"CEG48732",21.3539121945716,-0.444794137611234,0.295741447235557,278.562118330453,1.56591603376371e-50,4.02727049069229e-50
"CEG48733",5.66139945369645,-0.502502295115206,0.611088962600463,93.8272654896385,1.90597033664201e-13,2.52185448718397e-13
"CEG48734",461.505370550424,-0.00316804441971892,0.202829937674109,420.865215136655,2.83100616870815e-80,1.17423457418873e-79
"CEG48735",385.580063782186,0.0432908716117813,0.281670065473603,323.312525767486,7.85241506553088e-60,2.36496265503048e-59
"CEG48736",3.39451700368149,-0.093968045823727,0.814352608201896,94.1814280161407,1.63529949811052e-13,2.16708081331553e-13
"CEG48737",378.879202301028,0.0173368130989645,0.231583431988953,570.882247161299,5.40988225605856e-112,3.59722040922336e-111
"CEG48738",8.7001894241805,-0.509401687148499,0.420396996200378,37.8615002061305,0.00094579537006818,0.0010501544705823
"CEG48742",33.3773123793685,-0.0495569225943237,0.201587916171351,206.745744577326,9.01886886567539e-36,1.80039802683476e-35
"CEG48744",39.0361018514057,-0.282613848003776,0.367695222330834,94.2210881632269,1.60748142220394e-13,2.13065778235585e-13
"CEG48747",165.953393250335,-0.0859684802096892,0.213867706623685,603.506337627877,6.38694452346019e-119,4.65563154329672e-118
"CEG48748",557.088823118591,-0.0760294277750828,0.200091504575187,1409.93937071219,1.20378218754646e-291,6.47412268932549e-290
"CEG48749",53.4493900979189,0.0631630636963761,0.336417479606088,524.090679630708,4.50126471126563e-102,2.5964933891032e-101
"CEG48750",3.83417567855175,-0.0113438786431709,0.672558133776677,65.1426539360515,3.22575014878426e-08,3.86606759404855e-08
"CEG48752",5.59207826072862,-0.537874244766054,0.522335228201497,55.5105968358368,1.4653767032477e-06,1.70780495325235e-06
"CEG48754",2.53599939022427,-0.280775532109385,0.698763221842565,98.8636245951301,2.14151061984183e-14,2.88479645695384e-14
"CEG48763",103.850059520192,0.0632445980923046,0.322511734600544,335.230169438446,2.56250961897833e-62,8.04318860297268e-62
