"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEG47426",127.295428055543,-0.0749266624821758,0.290807413769609,221.366761061234,9.35945569975577e-39,1.97008769868235e-38
"CEG47427",119.04612334016,-0.281926115716308,0.273687050326354,243.724352087316,2.42963938734219e-43,5.52976247474751e-43
"CEG47428",31.7545442797606,0.0886064194611979,0.540264084507937,86.4156234794655,4.60196082480374e-12,5.9344245977723e-12
"CEG47429",82.1769062024082,-0.143080042594983,0.504574862952988,104.323204859902,1.96635824160496e-15,2.70318821743566e-15
"CEG47430",450.632879985697,0.500403979929678,0.231890904611257,1046.74084673296,1.28427178905375e-213,3.13715246181068e-212
"CEG47431",536.825096522905,0.0252689165410978,0.233147562052257,1449.72490034447,3.30881801004878e-300,1.91641948093323e-298
"CEG47432",3.26187326150413,-0.87203189328184,0.733901531574198,167.369066281589,8.24107902180983e-28,1.42586930899116e-27
"CEG47433",2.04783605264424,1.53792134643222,0.814307697517635,36.8190222082282,0.00134484058329595,0.00148948338376639
"CEG47435",13.8012772938344,1.91134541833767,0.799595008841991,172.170305088595,8.95893656606217e-29,1.5784499386868e-28
"CEG47437",23.8897165607884,0.0750102882638937,0.587460153657498,160.788203665811,1.71088917301833e-26,2.88986294729938e-26
"CEG47438",3.29986304900598,0.662051372343487,0.855987637104653,36.1142587552845,0.00170191908167486,0.0018821983968756
"CEG47440",116.324508168404,0.689415449974335,0.470513999667976,188.782977190634,3.99813373523613e-32,7.51815951388607e-32
"CEG47441",915.050684230867,0.0523327323890926,0.226006782019031,729.668401571883,8.78604520984005e-146,9.24086924288847e-145
"CEG47443",105.049460134048,0.730034650018209,0.568113743240046,375.670953938448,8.84546246202098e-71,3.18307336277393e-70
"CEG47444",330.495499476562,-0.0673169639907388,0.166480782187025,577.966286291134,1.69667603555157e-113,1.15028883766208e-112
"CEG47445",44.950485029837,0.175013451087834,0.332540898557213,206.789571087681,8.83542750003135e-36,1.76432873635571e-35
"CEG47450",5.39095810747293,-0.0296612668626928,0.753460931045763,58.8770579526027,3.92963445937828e-07,4.62182496370871e-07
"CEG47451",216.454826544895,0.168474414884413,0.233866428335805,366.388619416513,7.80040735553407e-69,2.71983694227284e-68
"CEG47453",82.3701757468535,0.833758372726362,0.316559843769872,178.919457301207,3.92591098054718e-30,7.1107486275653e-30
"CEG47454",106.15519225883,0.391874683299031,0.15240562074406,708.535370819639,2.8186452302253e-141,2.78814984133569e-140
"CEG47455",1.41316081395271,0.114343099712871,1.04644593462699,39.869383592077,0.00047454768704544,0.000529943325264494
"CEG47456",152.611628214786,0.162445632313051,0.174791626456869,249.173617980975,1.83714626188546e-44,4.26159335848747e-44
"CEG47457",5225.82603461202,-0.00679316140261402,0.51191386676794,349.660213208652,2.47444656304105e-65,8.17998863815224e-65
"CEG47458",280.73484641567,0.311535878657774,0.258849893252847,75.0411833610507,5.56585808633761e-10,6.89337044074711e-10
"CEG47459",1424.85352689015,-0.11074163860522,0.201878894377776,826.614062392109,1.75204289810049e-166,2.4192178096749e-165
"CEG47462",156.626162135464,0.190958195711404,0.226036903617457,355.852858345467,1.2532323547995e-66,4.2236372147008e-66
"CEG47463",140.325384963101,0.600661192487385,0.250171172110043,178.594106551325,4.56574856561072e-30,8.26146192250738e-30
"CEG47464",250.304896843354,0.000221204026631166,0.310056413766263,226.761772045888,7.36343658229073e-40,1.58008362537001e-39
"CEG47468",40.6908395738082,-0.960896968989781,0.530175764510583,302.782131342576,1.47618384029834e-55,4.12828340743254e-55
"CEG47469",13.2222462124622,0.46377143191061,0.504519792384879,272.8552111158,2.37690515293253e-49,5.99259128570739e-49
"CEG47470",91.3851984862485,0.41212580877929,0.299059361575457,311.639196501632,2.12177547676065e-57,6.11683020327396e-57
"CEG47471",471.408219924449,-0.63808078889924,0.236642689037077,294.302098602724,8.52943217508519e-54,2.32093392519325e-53
"CEG47472",272.99022730071,-0.589242258057689,0.207183647207232,111.32202922896,8.98445623692005e-17,1.26611295643044e-16
"CEG47473",138.374259028457,-0.0476499302388628,0.24747203435771,279.100537173358,1.21133127290773e-50,3.12035425502495e-50
"CEG47474",80.2711390052283,0.330706894651397,0.232627369887865,635.909847394786,8.24358042759097e-126,6.57431959334358e-125
"CEG47476",135.606474886318,-0.518496807823932,0.176527709701123,420.626133423017,3.17877995548217e-80,1.31720244189614e-79
"CEG47477",452.495741757658,0.537470654795327,0.625573173355159,540.573700740752,1.44934916277639e-105,8.77977722836619e-105
"CEG47478",14.6301610904143,0.956407807951981,1.02562014965384,289.668820836858,7.80808601723255e-53,2.0917434286433e-52
"CEG47479",3.01139827461968,0.760262888634961,0.84157679686299,86.3063225087086,4.82165672938281e-12,6.2146013630148e-12
"CEG47481",59.8969827539045,0.225987585712416,0.354055937329217,314.834893329494,4.58536094907488e-58,1.33970828916134e-57
"CEG47482",43.953052201604,0.409757215499381,0.559736840423619,271.155628608158,5.34031612262213e-49,1.33742998179541e-48
"CEG47483",170.479973982297,1.06116814710757,0.39156351025069,396.853151404341,3.17021085608023e-75,1.21931186772317e-74
"CEG47484",364.425993824813,0.102672743985627,0.216242382892382,308.922976016957,7.79778131873653e-57,2.23192309659722e-56
"CEG47485",166.715670678158,-0.0739699624543366,0.147018554278663,561.864830166032,4.43109246215158e-110,2.85589040863747e-109
"CEG47486",302.779857426107,0.216826586375441,0.141072858227306,1004.75745748754,1.28796741436424e-204,2.80373858909223e-203
"CEG47487",1866.66197931603,0.46208082337897,0.309452781902375,1095.22532805184,5.10461273960123e-224,1.39019240567863e-222
"CEG47488",48.0128283892519,0.795770284527888,0.425037756664218,283.14551417597,1.75884493444078e-51,4.60487117219104e-51
"CEG47489",166.291790358704,0.151557196080424,0.252253077168915,190.667056355799,1.66133913185712e-32,3.14294130768121e-32
"CEG47490",83.960180314992,0.610480675919353,0.414004606565671,238.544711004856,2.81948183583785e-42,6.30822714538097e-42
"CEG47494",185.189905043189,0.925634562939012,0.284092338508043,365.518641114944,1.18674488189262e-68,4.13005287879976e-68
"CEG47496",343.62200444022,0.0236651628981755,0.198923950458256,574.978401025698,7.30853259393015e-113,4.90556985853728e-112
"CEG47497",10.7945007359888,0.0465783910364423,0.467959661912212,122.473419967378,6.25903061479189e-19,9.19283899820266e-19
