survived_clusters
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
38	41
39	42
40	43
41	45
42	46
43	47
44	48
45	49
46	50
47	51
48	54
49	55
50	56
51	58
52	59
53	60
54	61
55	62
56	63
57	65
58	66
59	67
60	68
61	69
62	70
63	71
64	73
65	75
66	76
67	78
68	80
69	81
70	82
71	83
72	84
73	86
74	87
75	88
76	90
77	91
78	92
79	94
80	95
81	99
82	100
83	102
84	104
85	105
86	108
87	110
88	111
89	112
90	113
91	114
92	117
93	118
94	123
95	126
96	130
97	131
