genes	cluster
CEG35376	CEG35376	2
CEG41605	CEG41605	2
CEG38656	CEG38656	2
CEG50351	CEG50351	2
CEG40178	CEG40178	2
CEG38534	CEG38534	2
CEG35233	CEG35233	2
CEG38337	CEG38337	2
CEG48310	CEG48310	2
CEG39185	CEG39185	2
CEG47010	CEG47010	2
CEG38799	CEG38799	2
CEG39915	CEG39915	2
CEG35561	CEG35561	2
CEG49668	CEG49668	2
CEG37212	CEG37212	2
CEG36795	CEG36795	2
CEG44553	CEG44553	2
CEG46121	CEG46121	2
CEG41814	CEG41814	2
CEG49339	CEG49339	2
CEG35708	CEG35708	2
CEG37872	CEG37872	2
CEG46332	CEG46332	2
CEG39110	CEG39110	2
CEG48074	CEG48074	2
CEG41452	CEG41452	2
CEG36874	CEG36874	2
CEG43790	CEG43790	2
CEG43537	CEG43537	2
CEG38887	CEG38887	2
CEG38427	CEG38427	2
CEG43882	CEG43882	2
CEG45305	CEG45305	2
CEG46612	CEG46612	2
CEG44892	CEG44892	2
CEG44057	CEG44057	2
CEG38021	CEG38021	2
CEG48567	CEG48567	2
CEG42716	CEG42716	2
CEG48341	CEG48341	2
CEG36173	CEG36173	2
CEG37490	CEG37490	2
CEG36092	CEG36092	2
CEG43300	CEG43300	2
CEG46919	CEG46919	2
CEG36999	CEG36999	2
CEG41389	CEG41389	2
CEG45951	CEG45951	2
CEG45140	CEG45140	2
CEG35956	CEG35956	2
CEG44358	CEG44358	2
CEG43484	CEG43484	2
CEG46199	CEG46199	2
CEG47943	CEG47943	2
CEG38355	CEG38355	2
CEG40394	CEG40394	2
CEG48367	CEG48367	2
CEG48141	CEG48141	2
CEG39594	CEG39594	2
CEG43320	CEG43320	2
CEG40035	CEG40035	2
CEG43231	CEG43231	2
CEG50457	CEG50457	2
CEG44138	CEG44138	2
CEG37304	CEG37304	2
CEG49454	CEG49454	2
CEG38126	CEG38126	2
CEG40286	CEG40286	2
CEG47913	CEG47913	2
CEG49874	CEG49874	2
CEG44699	CEG44699	2
CEG36813	CEG36813	2
CEG48449	CEG48449	2
CEG47303	CEG47303	2
CEG37969	CEG37969	2
CEG49255	CEG49255	2
CEG38330	CEG38330	2
CEG43342	CEG43342	2
CEG49985	CEG49985	2
CEG41815	CEG41815	2
CEG35396	CEG35396	2
CEG48322	CEG48322	2
CEG49927	CEG49927	2
CEG35312	CEG35312	2
CEG41169	CEG41169	2
CEG48548	CEG48548	2
CEG38794	CEG38794	2
CEG41110	CEG41110	2
CEG39564	CEG39564	2
CEG48294	CEG48294	2
CEG39643	CEG39643	2
CEG46913	CEG46913	2
CEG41418	CEG41418	2
CEG40719	CEG40719	2
CEG42045	CEG42045	2
CEG46885	CEG46885	2
CEG48266	CEG48266	2
CEG43789	CEG43789	2
CEG45031	CEG45031	2
CEG49303	CEG49303	2
CEG47545	CEG47545	2
CEG35667	CEG35667	2
CEG37619	CEG37619	2
CEG49796	CEG49796	2
CEG50132	CEG50132	2
CEG45086	CEG45086	2
CEG37796	CEG37796	2
CEG49390	CEG49390	2
CEG46863	CEG46863	2
CEG44109	CEG44109	2
CEG49211	CEG49211	2
CEG46110	CEG46110	2
CEG43964	CEG43964	2
CEG40511	CEG40511	2
CEG41816	CEG41816	2
CEG36322	CEG36322	2
CEG39071	CEG39071	2
CEG43711	CEG43711	2
CEG47944	CEG47944	2
CEG44379	CEG44379	2
CEG45975	CEG45975	2
CEG46469	CEG46469	2
CEG38029	CEG38029	2
CEG47359	CEG47359	2
CEG47909	CEG47909	2
CEG37917	CEG37917	2
CEG44384	CEG44384	2
CEG48544	CEG48544	2
CEG37373	CEG37373	2
CEG35898	CEG35898	2
CEG36791	CEG36791	2
CEG36931	CEG36931	2
CEG44453	CEG44453	2
CEG40264	CEG40264	2
CEG45427	CEG45427	2
CEG40156	CEG40156	2
CEG47427	CEG47427	2
CEG43671	CEG43671	2
CEG48822	CEG48822	2
CEG39303	CEG39303	2
CEG40897	CEG40897	2
CEG48018	CEG48018	2
CEG36244	CEG36244	2
CEG43967	CEG43967	2
CEG37497	CEG37497	2
CEG35750	CEG35750	2
CEG50176	CEG50176	2
CEG37404	CEG37404	2
CEG42820	CEG42820	2
CEG37029	CEG37029	2
CEG39586	CEG39586	2
CEG46685	CEG46685	2
CEG43393	CEG43393	2
CEG39186	CEG39186	2
CEG46082	CEG46082	2
CEG35403	CEG35403	2
CEG45058	CEG45058	2
CEG46726	CEG46726	2
CEG36671	CEG36671	2
CEG48967	CEG48967	2
CEG40247	CEG40247	2
CEG50131	CEG50131	2
CEG45164	CEG45164	2
CEG42159	CEG42159	2
CEG48693	CEG48693	2
CEG35112	CEG35112	2
CEG46034	CEG46034	2
CEG40767	CEG40767	2
CEG42767	CEG42767	2
CEG45933	CEG45933	2
CEG37575	CEG37575	2
CEG48887	CEG48887	2
CEG46015	CEG46015	2
CEG39236	CEG39236	2
CEG36029	CEG36029	2
CEG36801	CEG36801	2
CEG44420	CEG44420	2
CEG39035	CEG39035	2
CEG42688	CEG42688	2
CEG46899	CEG46899	2
CEG40069	CEG40069	2
CEG39178	CEG39178	2
CEG37514	CEG37514	2
CEG48053	CEG48053	2
CEG44507	CEG44507	2
CEG40833	CEG40833	2
CEG36958	CEG36958	2
CEG50459	CEG50459	2
CEG36196	CEG36196	2
CEG44473	CEG44473	2
CEG39355	CEG39355	2
CEG36996	CEG36996	2
CEG42560	CEG42560	2
CEG36749	CEG36749	2
CEG42134	CEG42134	2
CEG43230	CEG43230	2
CEG41580	CEG41580	2
CEG42680	CEG42680	2
CEG35337	CEG35337	2
CEG35408	CEG35408	2
CEG45468	CEG45468	2
CEG50283	CEG50283	2
CEG42593	CEG42593	2
CEG35892	CEG35892	2
CEG45716	CEG45716	2
CEG46574	CEG46574	2
CEG41915	CEG41915	2
CEG39629	CEG39629	2
CEG41534	CEG41534	2
CEG35689	CEG35689	2
CEG39369	CEG39369	2
CEG35375	CEG35375	2
CEG45608	CEG45608	2
CEG49708	CEG49708	2
CEG37110	CEG37110	2
CEG47552	CEG47552	2
CEG43275	CEG43275	2
CEG38349	CEG38349	2
CEG38784	CEG38784	2
CEG45254	CEG45254	2
CEG45582	CEG45582	2
CEG47581	CEG47581	2
CEG38146	CEG38146	2
CEG48165	CEG48165	2
CEG43203	CEG43203	2
CEG43048	CEG43048	2
CEG37028	CEG37028	2
CEG48532	CEG48532	2
CEG50390	CEG50390	2
CEG43791	CEG43791	2
CEG49848	CEG49848	2
CEG46580	CEG46580	2
CEG43164	CEG43164	2
CEG37574	CEG37574	2
CEG39317	CEG39317	2
CEG47103	CEG47103	2
CEG42379	CEG42379	2
CEG36527	CEG36527	2
CEG35385	CEG35385	2
CEG40490	CEG40490	2
CEG40138	CEG40138	2
CEG42022	CEG42022	2
CEG43304	CEG43304	2
CEG36603	CEG36603	2
CEG45674	CEG45674	2
CEG46225	CEG46225	2
CEG39870	CEG39870	2
CEG38076	CEG38076	2
CEG49205	CEG49205	2
CEG39560	CEG39560	2
CEG48689	CEG48689	2
CEG46326	CEG46326	2
CEG48490	CEG48490	2
CEG40230	CEG40230	2
CEG35110	CEG35110	2
CEG40491	CEG40491	2
CEG48242	CEG48242	2
CEG42559	CEG42559	2
CEG48620	CEG48620	2
CEG49175	CEG49175	2
CEG42646	CEG42646	2
CEG37747	CEG37747	2
CEG48108	CEG48108	2
CEG47525	CEG47525	2
CEG41327	CEG41327	2
CEG47644	CEG47644	2
CEG47857	CEG47857	2
CEG37175	CEG37175	2
CEG35119	CEG35119	2
CEG39308	CEG39308	2
CEG42987	CEG42987	2
CEG49058	CEG49058	2
CEG41962	CEG41962	2
CEG35448	CEG35448	2
CEG46008	CEG46008	2
CEG35939	CEG35939	2
CEG39492	CEG39492	2
CEG43222	CEG43222	2
CEG46036	CEG46036	2
CEG42973	CEG42973	2
CEG42652	CEG42652	2
CEG48883	CEG48883	2
CEG50336	CEG50336	2
CEG37375	CEG37375	2
CEG41262	CEG41262	2
CEG42279	CEG42279	2
CEG40137	CEG40137	2
CEG38144	CEG38144	2
CEG49090	CEG49090	2
CEG46144	CEG46144	2
CEG48132	CEG48132	2
CEG35453	CEG35453	2
CEG36183	CEG36183	2
CEG37052	CEG37052	2
CEG49222	CEG49222	2
CEG42270	CEG42270	2
CEG44688	CEG44688	2
CEG40375	CEG40375	2
CEG48773	CEG48773	2
CEG37272	CEG37272	2
CEG46129	CEG46129	2
CEG38963	CEG38963	2
CEG40265	CEG40265	2
CEG39561	CEG39561	2
CEG47782	CEG47782	2
CEG48560	CEG48560	2
CEG43860	CEG43860	2
CEG45198	CEG45198	2
CEG35082	CEG35082	2
CEG48021	CEG48021	2
CEG35848	CEG35848	2
CEG41103	CEG41103	2
CEG44271	CEG44271	2
CEG38522	CEG38522	2
CEG38464	CEG38464	2
CEG37295	CEG37295	2
CEG39721	CEG39721	2
CEG39093	CEG39093	2
CEG43418	CEG43418	2
CEG42124	CEG42124	2
CEG48433	CEG48433	2
CEG39111	CEG39111	2
CEG38927	CEG38927	2
CEG35748	CEG35748	3
CEG37962	CEG37962	3
CEG38585	CEG38585	3
CEG40298	CEG40298	3
CEG40424	CEG40424	3
CEG40515	CEG40515	3
CEG41265	CEG41265	3
CEG42011	CEG42011	3
CEG44148	CEG44148	3
CEG48727	CEG48727	3
CEG42383	CEG42383	3
CEG44848	CEG44848	3
CEG36274	CEG36274	3
CEG38279	CEG38279	3
CEG40684	CEG40684	3
CEG36210	CEG36210	3
CEG47176	CEG47176	3
CEG46838	CEG46838	3
CEG39001	CEG39001	3
CEG43378	CEG43378	3
CEG46382	CEG46382	3
CEG36329	CEG36329	3
CEG39641	CEG39641	3
CEG48870	CEG48870	3
CEG48848	CEG48848	3
CEG37167	CEG37167	3
CEG47918	CEG47918	3
CEG42756	CEG42756	3
CEG47017	CEG47017	3
CEG47876	CEG47876	3
CEG44519	CEG44519	3
CEG50156	CEG50156	3
CEG40211	CEG40211	3
CEG40776	CEG40776	3
CEG38482	CEG38482	3
CEG44834	CEG44834	3
CEG42929	CEG42929	3
CEG35747	CEG35747	3
CEG48229	CEG48229	3
CEG43487	CEG43487	3
CEG41027	CEG41027	3
CEG47430	CEG47430	3
CEG46245	CEG46245	3
CEG44139	CEG44139	3
CEG45329	CEG45329	3
CEG50003	CEG50003	3
CEG48144	CEG48144	3
CEG47795	CEG47795	3
CEG37716	CEG37716	3
CEG44477	CEG44477	3
CEG42172	CEG42172	3
CEG50191	CEG50191	3
CEG44028	CEG44028	3
CEG42900	CEG42900	3
CEG46373	CEG46373	3
CEG49153	CEG49153	3
CEG47750	CEG47750	3
CEG40858	CEG40858	3
CEG42474	CEG42474	3
CEG49557	CEG49557	3
CEG35899	CEG35899	3
CEG45803	CEG45803	3
CEG35232	CEG35232	3
CEG35415	CEG35415	3
CEG46319	CEG46319	3
CEG39207	CEG39207	3
CEG43533	CEG43533	3
CEG44467	CEG44467	3
CEG44059	CEG44059	3
CEG40522	CEG40522	3
CEG36977	CEG36977	3
CEG37337	CEG37337	3
CEG40425	CEG40425	3
CEG48224	CEG48224	3
CEG36221	CEG36221	3
CEG46244	CEG46244	3
CEG38909	CEG38909	3
CEG42776	CEG42776	3
CEG43343	CEG43343	3
CEG47263	CEG47263	3
CEG47685	CEG47685	3
CEG36951	CEG36951	3
CEG44753	CEG44753	3
CEG44145	CEG44145	3
CEG36017	CEG36017	3
CEG41235	CEG41235	3
CEG38470	CEG38470	3
CEG48216	CEG48216	3
CEG38812	CEG38812	3
CEG45777	CEG45777	3
CEG35670	CEG35670	3
CEG42166	CEG42166	3
CEG36564	CEG36564	3
CEG45826	CEG45826	3
CEG41466	CEG41466	3
CEG38588	CEG38588	3
CEG49725	CEG49725	3
CEG46583	CEG46583	3
CEG36459	CEG36459	3
CEG47653	CEG47653	3
CEG42661	CEG42661	3
CEG41339	CEG41339	3
CEG50350	CEG50350	3
CEG37948	CEG37948	3
CEG41412	CEG41412	3
CEG50225	CEG50225	3
CEG46293	CEG46293	3
CEG40519	CEG40519	3
CEG39585	CEG39585	3
CEG36312	CEG36312	3
CEG37790	CEG37790	3
CEG37913	CEG37913	3
CEG39116	CEG39116	3
CEG49884	CEG49884	3
CEG35234	CEG35234	3
CEG43162	CEG43162	3
CEG50376	CEG50376	3
CEG42502	CEG42502	3
CEG39485	CEG39485	3
CEG41741	CEG41741	3
CEG40976	CEG40976	3
CEG49988	CEG49988	3
CEG39755	CEG39755	3
CEG45691	CEG45691	3
CEG35937	CEG35937	3
CEG50130	CEG50130	3
CEG47694	CEG47694	3
CEG47793	CEG47793	3
CEG45822	CEG45822	3
CEG40832	CEG40832	3
CEG46361	CEG46361	3
CEG46298	CEG46298	3
CEG38665	CEG38665	3
CEG41026	CEG41026	3
CEG37895	CEG37895	3
CEG38515	CEG38515	3
CEG50051	CEG50051	3
CEG49512	CEG49512	3
CEG37538	CEG37538	3
CEG45714	CEG45714	3
CEG47508	CEG47508	3
CEG43474	CEG43474	3
CEG44099	CEG44099	3
CEG45800	CEG45800	3
CEG43550	CEG43550	3
CEG40253	CEG40253	3
CEG39737	CEG39737	3
CEG48749	CEG48749	3
CEG36633	CEG36633	3
CEG40747	CEG40747	3
CEG39634	CEG39634	3
CEG35617	CEG35617	3
CEG44800	CEG44800	3
CEG43436	CEG43436	3
CEG44288	CEG44288	3
CEG36342	CEG36342	3
CEG35357	CEG35357	3
CEG46522	CEG46522	3
CEG44997	CEG44997	3
CEG38469	CEG38469	3
CEG35900	CEG35900	3
CEG47997	CEG47997	3
CEG36311	CEG36311	3
CEG49397	CEG49397	3
CEG40591	CEG40591	3
CEG35635	CEG35635	3
CEG47642	CEG47642	3
CEG44482	CEG44482	3
CEG41930	CEG41930	3
CEG49046	CEG49046	3
CEG44478	CEG44478	3
CEG37692	CEG37692	3
CEG41338	CEG41338	3
CEG38905	CEG38905	3
CEG47972	CEG47972	3
CEG39409	CEG39409	3
CEG37414	CEG37414	3
CEG47240	CEG47240	3
CEG45943	CEG45943	3
CEG35169	CEG35169	3
CEG46053	CEG46053	3
CEG40787	CEG40787	3
CEG48489	CEG48489	3
CEG36805	CEG36805	3
CEG41423	CEG41423	3
CEG45183	CEG45183	3
CEG48321	CEG48321	3
CEG43355	CEG43355	3
CEG36581	CEG36581	3
CEG45776	CEG45776	3
CEG39745	CEG39745	3
CEG41997	CEG41997	3
CEG47078	CEG47078	3
CEG46784	CEG46784	3
CEG40740	CEG40740	3
CEG41451	CEG41451	3
CEG46360	CEG46360	3
CEG38479	CEG38479	3
CEG35695	CEG35695	3
CEG45294	CEG45294	3
CEG38705	CEG38705	3
CEG49690	CEG49690	3
CEG36084	CEG36084	3
CEG35803	CEG35803	3
CEG45370	CEG45370	3
CEG46834	CEG46834	3
CEG38792	CEG38792	3
CEG43331	CEG43331	3
CEG39602	CEG39602	3
CEG44474	CEG44474	3
CEG40350	CEG40350	3
CEG42663	CEG42663	3
CEG47018	CEG47018	3
CEG39302	CEG39302	3
CEG41999	CEG41999	3
CEG46056	CEG46056	3
CEG49640	CEG49640	3
CEG39884	CEG39884	3
CEG38655	CEG38655	3
CEG39151	CEG39151	3
CEG46943	CEG46943	3
CEG41240	CEG41240	3
CEG41874	CEG41874	3
CEG38254	CEG38254	3
CEG38139	CEG38139	3
CEG48022	CEG48022	3
CEG42250	CEG42250	3
CEG44691	CEG44691	3
CEG37937	CEG37937	3
CEG47520	CEG47520	3
CEG35769	CEG35769	3
CEG36747	CEG36747	3
CEG36517	CEG36517	3
CEG37494	CEG37494	3
CEG45232	CEG45232	3
CEG50262	CEG50262	3
CEG36028	CEG36028	3
CEG48293	CEG48293	3
CEG36783	CEG36783	3
CEG50174	CEG50174	3
CEG40523	CEG40523	3
CEG40032	CEG40032	3
CEG38845	CEG38845	3
CEG35541	CEG35541	3
CEG39439	CEG39439	3
CEG50272	CEG50272	3
CEG42200	CEG42200	3
CEG46381	CEG46381	3
CEG49340	CEG49340	3
CEG50273	CEG50273	3
CEG44493	CEG44493	3
CEG49887	CEG49887	3
CEG48601	CEG48601	3
CEG41269	CEG41269	3
CEG35763	CEG35763	3
CEG49536	CEG49536	3
CEG48064	CEG48064	3
CEG41054	CEG41054	3
CEG45487	CEG45487	3
CEG45719	CEG45719	3
CEG41234	CEG41234	3
CEG42238	CEG42238	3
CEG49047	CEG49047	3
CEG41043	CEG41043	3
CEG39269	CEG39269	3
CEG44701	CEG44701	3
CEG40159	CEG40159	3
CEG37280	CEG37280	3
CEG35475	CEG35475	3
CEG47345	CEG47345	3
CEG41943	CEG41943	3
CEG46523	CEG46523	3
CEG39380	CEG39380	3
CEG40840	CEG40840	3
CEG43883	CEG43883	3
CEG41354	CEG41354	3
CEG38169	CEG38169	3
CEG49702	CEG49702	3
CEG37637	CEG37637	3
CEG35245	CEG35245	3
CEG41127	CEG41127	3
CEG41767	CEG41767	3
CEG41298	CEG41298	3
CEG37428	CEG37428	3
CEG41944	CEG41944	3
CEG49270	CEG49270	3
CEG45030	CEG45030	3
CEG48791	CEG48791	3
CEG49995	CEG49995	3
CEG35808	CEG35808	3
CEG44485	CEG44485	3
CEG48832	CEG48832	3
CEG41200	CEG41200	3
CEG43377	CEG43377	3
CEG49282	CEG49282	3
CEG48929	CEG48929	3
CEG37361	CEG37361	3
CEG39554	CEG39554	3
CEG48394	CEG48394	3
CEG44472	CEG44472	3
CEG44886	CEG44886	3
CEG46228	CEG46228	3
CEG40943	CEG40943	3
CEG44013	CEG44013	3
CEG42538	CEG42538	3
CEG40995	CEG40995	3
CEG40588	CEG40588	3
CEG49805	CEG49805	3
CEG50478	CEG50478	3
CEG49610	CEG49610	3
CEG37673	CEG37673	3
CEG38867	CEG38867	3
CEG48109	CEG48109	3
CEG39746	CEG39746	3
CEG48724	CEG48724	3
CEG40217	CEG40217	3
CEG39190	CEG39190	3
CEG44120	CEG44120	3
CEG41839	CEG41839	3
CEG44207	CEG44207	3
CEG45668	CEG45668	3
CEG46640	CEG46640	3
CEG39177	CEG39177	3
CEG35529	CEG35529	3
CEG49189	CEG49189	3
CEG39584	CEG39584	3
CEG48878	CEG48878	3
CEG36307	CEG36307	3
CEG36212	CEG36212	3
CEG39197	CEG39197	3
CEG36358	CEG36358	3
CEG46202	CEG46202	3
CEG37030	CEG37030	3
CEG50433	CEG50433	3
CEG44260	CEG44260	3
CEG41309	CEG41309	3
CEG38766	CEG38766	3
CEG46779	CEG46779	3
CEG37219	CEG37219	3
CEG39739	CEG39739	3
CEG48578	CEG48578	3
CEG45222	CEG45222	3
CEG35507	CEG35507	3
CEG49885	CEG49885	3
CEG49809	CEG49809	3
CEG36735	CEG36735	3
CEG39879	CEG39879	3
CEG35207	CEG35207	3
CEG46793	CEG46793	3
CEG37862	CEG37862	3
CEG46521	CEG46521	3
CEG39601	CEG39601	3
CEG42696	CEG42696	3
CEG46397	CEG46397	3
CEG49212	CEG49212	3
CEG45118	CEG45118	3
CEG45435	CEG45435	3
CEG46138	CEG46138	3
CEG46764	CEG46764	3
CEG41600	CEG41600	3
CEG40239	CEG40239	3
CEG39209	CEG39209	3
CEG45707	CEG45707	3
CEG39356	CEG39356	3
CEG42862	CEG42862	3
CEG47106	CEG47106	3
CEG48151	CEG48151	3
CEG39230	CEG39230	3
CEG39810	CEG39810	3
CEG47255	CEG47255	3
CEG38180	CEG38180	3
CEG49143	CEG49143	3
CEG38735	CEG38735	3
CEG46652	CEG46652	3
CEG46570	CEG46570	3
CEG36128	CEG36128	3
CEG43453	CEG43453	3
CEG44911	CEG44911	3
CEG41513	CEG41513	3
CEG38819	CEG38819	3
CEG48099	CEG48099	3
CEG37786	CEG37786	3
CEG37213	CEG37213	3
CEG48914	CEG48914	3
CEG46824	CEG46824	3
CEG37880	CEG37880	3
CEG41407	CEG41407	3
CEG44750	CEG44750	3
CEG46155	CEG46155	3
CEG43745	CEG43745	3
CEG36915	CEG36915	3
CEG45706	CEG45706	3
CEG38471	CEG38471	3
CEG38229	CEG38229	3
CEG35190	CEG35190	3
CEG48364	CEG48364	3
CEG35794	CEG35794	3
CEG48065	CEG48065	3
CEG47792	CEG47792	3
CEG47785	CEG47785	3
CEG49644	CEG49644	3
CEG37543	CEG37543	3
CEG44698	CEG44698	3
CEG39826	CEG39826	3
CEG41101	CEG41101	3
CEG48470	CEG48470	3
CEG50039	CEG50039	3
CEG44637	CEG44637	3
CEG41893	CEG41893	3
CEG35285	CEG35285	3
CEG45203	CEG45203	3
CEG46179	CEG46179	3
CEG45512	CEG45512	3
CEG42239	CEG42239	3
CEG47791	CEG47791	3
CEG39702	CEG39702	3
CEG36253	CEG36253	3
CEG45107	CEG45107	3
CEG50434	CEG50434	3
CEG35603	CEG35603	3
CEG44850	CEG44850	3
CEG43787	CEG43787	3
CEG35582	CEG35582	3
CEG40500	CEG40500	3
CEG36475	CEG36475	3
CEG42317	CEG42317	3
CEG40499	CEG40499	3
CEG46248	CEG46248	3
CEG47629	CEG47629	3
CEG44297	CEG44297	3
CEG48007	CEG48007	3
CEG43740	CEG43740	3
CEG41239	CEG41239	3
CEG36615	CEG36615	3
CEG36821	CEG36821	3
CEG39066	CEG39066	3
