genes	cluster
CEG41319	CEG41319	3
CEG37045	CEG37045	3
CEG35687	CEG35687	3
CEG46249	CEG46249	3
CEG49994	CEG49994	3
CEG48996	CEG48996	3
CEG42027	CEG42027	3
CEG38818	CEG38818	3
CEG46464	CEG46464	3
CEG41464	CEG41464	3
CEG42555	CEG42555	3
CEG39762	CEG39762	3
CEG47705	CEG47705	3
CEG37573	CEG37573	3
CEG35121	CEG35121	3
CEG35405	CEG35405	3
CEG36463	CEG36463	3
CEG43778	CEG43778	3
CEG47507	CEG47507	3
CEG36018	CEG36018	3
CEG47300	CEG47300	3
CEG48750	CEG48750	3
CEG35097	CEG35097	3
CEG43101	CEG43101	3
CEG42922	CEG42922	3
CEG46275	CEG46275	3
CEG42645	CEG42645	3
CEG44728	CEG44728	3
CEG42482	CEG42482	3
CEG35779	CEG35779	3
CEG39292	CEG39292	3
CEG46562	CEG46562	3
CEG37996	CEG37996	3
CEG44230	CEG44230	3
CEG37699	CEG37699	3
CEG38411	CEG38411	3
ENSRNAG00050153042	ENSRNAG00050153042	3
CEG44795	CEG44795	3
CEG45440	CEG45440	3
CEG43428	CEG43428	3
CEG46324	CEG46324	3
CEG40712	CEG40712	3
CEG42315	CEG42315	3
CEG45062	CEG45062	3
CEG37217	CEG37217	3
CEG46273	CEG46273	3
CEG43678	CEG43678	3
CEG46844	CEG46844	3
CEG48598	CEG48598	3
CEG36583	CEG36583	3
CEG45835	CEG45835	3
CEG44847	CEG44847	3
CEG42501	CEG42501	3
CEG36046	CEG36046	3
CEG47499	CEG47499	3
CEG41249	CEG41249	3
CEG47415	CEG47415	3
CEG40906	CEG40906	3
CEG46250	CEG46250	3
CEG43826	CEG43826	3
CEG37818	CEG37818	3
CEG35786	CEG35786	4
CEG36646	CEG36646	4
CEG41798	CEG41798	4
CEG37350	CEG37350	4
CEG39988	CEG39988	4
CEG39813	CEG39813	4
CEG38340	CEG38340	4
CEG36001	CEG36001	4
CEG35263	CEG35263	4
CEG48717	CEG48717	4
CEG38786	CEG38786	4
CEG40162	CEG40162	4
CEG42971	CEG42971	4
CEG44923	CEG44923	4
CEG47751	CEG47751	4
CEG35906	CEG35906	4
CEG35962	CEG35962	5
CEG41703	CEG41703	5
CEG45746	CEG45746	5
CEG45829	CEG45829	5
CEG46023	CEG46023	5
CEG39122	CEG39122	5
CEG38709	CEG38709	5
CEG39217	CEG39217	5
CEG43718	CEG43718	5
CEG40854	CEG40854	5
CEG40622	CEG40622	5
CEG39134	CEG39134	5
CEG49486	CEG49486	5
CEG41701	CEG41701	5
CEG45762	CEG45762	5
CEG43640	CEG43640	5
CEG42874	CEG42874	5
CEG38844	CEG38844	5
CEG46848	CEG46848	5
CEG38372	CEG38372	5
CEG44940	CEG44940	5
CEG44103	CEG44103	5
CEG49145	CEG49145	5
CEG36785	CEG36785	5
CEG43309	CEG43309	5
CEG40170	CEG40170	5
CEG39608	CEG39608	5
CEG36964	CEG36964	5
CEG49392	CEG49392	5
ENSRNAG00050153202	ENSRNAG00050153202	5
ENSRNAG00050153112	ENSRNAG00050153112	5
CEG44625	CEG44625	5
CEG36162	CEG36162	5
CEG38371	CEG38371	5
CEG43796	CEG43796	5
CEG49256	CEG49256	5
CEG40987	CEG40987	5
CEG40305	CEG40305	5
CEG41700	CEG41700	5
CEG41197	CEG41197	5
CEG48220	CEG48220	5
CEG42154	CEG42154	5
CEG37501	CEG37501	5
CEG45893	CEG45893	5
CEG37419	CEG37419	5
CEG48038	CEG48038	5
CEG40558	CEG40558	5
CEG45378	CEG45378	5
CEG42221	CEG42221	5
CEG41372	CEG41372	5
CEG50219	CEG50219	5
CEG43795	CEG43795	5
CEG38954	CEG38954	5
CEG38472	CEG38472	5
CEG45705	CEG45705	5
CEG43045	CEG43045	5
CEG47815	CEG47815	5
CEG41837	CEG41837	5
CEG36005	CEG36005	6
CEG37108	CEG37108	6
CEG38723	CEG38723	6
CEG39872	CEG39872	6
CEG39897	CEG39897	6
CEG39963	CEG39963	6
CEG43446	CEG43446	6
CEG44318	CEG44318	6
CEG44405	CEG44405	6
CEG44554	CEG44554	6
CEG45659	CEG45659	6
CEG45964	CEG45964	6
CEG47312	CEG47312	6
CEG48422	CEG48422	6
CEG48677	CEG48677	6
CEG50365	CEG50365	6
CEG45141	CEG45141	6
CEG47277	CEG47277	6
CEG36014	CEG36014	6
CEG48163	CEG48163	6
CEG39768	CEG39768	6
CEG43566	CEG43566	6
CEG41830	CEG41830	6
CEG42404	CEG42404	6
CEG48927	CEG48927	6
CEG49299	CEG49299	6
CEG36165	CEG36165	6
CEG40205	CEG40205	6
CEG44425	CEG44425	6
CEG39390	CEG39390	6
CEG46937	CEG46937	6
CEG45093	CEG45093	6
CEG39576	CEG39576	6
CEG38717	CEG38717	6
CEG43962	CEG43962	6
CEG45896	CEG45896	6
CEG46505	CEG46505	6
CEG41901	CEG41901	6
CEG48576	CEG48576	6
CEG37843	CEG37843	6
CEG35765	CEG35765	6
CEG49601	CEG49601	6
CEG47401	CEG47401	6
CEG47752	CEG47752	6
CEG37081	CEG37081	6
CEG47230	CEG47230	6
CEG40284	CEG40284	6
CEG49333	CEG49333	6
CEG46357	CEG46357	6
CEG41842	CEG41842	6
CEG44311	CEG44311	6
CEG50148	CEG50148	6
CEG44422	CEG44422	6
CEG41070	CEG41070	6
CEG50498	CEG50498	6
CEG36175	CEG36175	7
CEG46558	CEG46558	7
CEG49679	CEG49679	7
CEG42788	CEG42788	7
CEG47675	CEG47675	7
CEG46739	CEG46739	7
CEG37144	CEG37144	7
CEG36723	CEG36723	7
CEG39341	CEG39341	7
CEG42029	CEG42029	7
CEG43214	CEG43214	7
CEG47474	CEG47474	7
CEG37231	CEG37231	7
CEG43586	CEG43586	7
CEG42978	CEG42978	7
CEG44746	CEG44746	7
CEG40671	CEG40671	7
CEG39589	CEG39589	7
CEG38468	CEG38468	7
CEG37811	CEG37811	7
CEG48975	CEG48975	7
CEG44967	CEG44967	7
CEG37844	CEG37844	7
CEG46918	CEG46918	7
CEG41394	CEG41394	7
CEG43074	CEG43074	7
CEG39394	CEG39394	7
CEG48932	CEG48932	7
CEG50497	CEG50497	7
CEG38335	CEG38335	7
CEG42426	CEG42426	7
CEG49402	CEG49402	7
CEG36155	CEG36155	7
CEG36203	CEG36203	8
CEG36993	CEG36993	8
CEG37322	CEG37322	8
CEG38064	CEG38064	8
CEG38431	CEG38431	8
CEG38448	CEG38448	8
CEG38858	CEG38858	8
CEG40715	CEG40715	8
CEG41964	CEG41964	8
CEG42002	CEG42002	8
CEG42355	CEG42355	8
CEG42885	CEG42885	8
CEG43781	CEG43781	8
CEG44742	CEG44742	8
CEG45211	CEG45211	8
CEG45625	CEG45625	8
CEG45770	CEG45770	8
CEG46439	CEG46439	8
CEG46932	CEG46932	8
CEG47028	CEG47028	8
CEG48134	CEG48134	8
CEG48423	CEG48423	8
CEG48424	CEG48424	8
CEG48504	CEG48504	8
CEG49357	CEG49357	8
CEG50406	CEG50406	8
CEG47991	CEG47991	8
CEG45621	CEG45621	8
CEG39509	CEG39509	8
CEG47841	CEG47841	8
CEG35333	CEG35333	8
CEG45210	CEG45210	8
CEG49780	CEG49780	8
CEG35256	CEG35256	8
CEG40466	CEG40466	8
CEG36030	CEG36030	8
CEG47929	CEG47929	8
CEG47826	CEG47826	8
CEG47114	CEG47114	8
CEG45761	CEG45761	8
CEG45626	CEG45626	8
CEG43565	CEG43565	8
CEG46102	CEG46102	8
CEG41470	CEG41470	8
CEG46605	CEG46605	8
CEG47790	CEG47790	8
CEG43610	CEG43610	8
CEG36626	CEG36626	8
CEG49010	CEG49010	8
CEG39128	CEG39128	8
CEG43625	CEG43625	8
CEG43065	CEG43065	8
CEG42816	CEG42816	8
CEG48981	CEG48981	8
CEG44184	CEG44184	8
CEG38045	CEG38045	8
CEG48200	CEG48200	8
CEG47827	CEG47827	8
CEG39662	CEG39662	8
CEG42033	CEG42033	8
CEG45517	CEG45517	8
CEG45991	CEG45991	8
CEG48908	CEG48908	8
CEG43076	CEG43076	8
CEG42618	CEG42618	8
CEG48669	CEG48669	8
CEG45248	CEG45248	8
CEG38767	CEG38767	8
CEG49146	CEG49146	8
CEG37943	CEG37943	8
CEG36560	CEG36560	8
CEG40781	CEG40781	8
CEG39799	CEG39799	8
CEG42675	CEG42675	8
CEG40665	CEG40665	8
CEG47014	CEG47014	8
CEG36621	CEG36621	8
CEG36945	CEG36945	8
CEG44968	CEG44968	8
CEG42600	CEG42600	8
CEG38600	CEG38600	8
CEG48418	CEG48418	8
CEG40553	CEG40553	8
CEG39912	CEG39912	8
CEG37623	CEG37623	8
CEG42349	CEG42349	8
CEG47542	CEG47542	8
CEG36012	CEG36012	8
CEG44611	CEG44611	8
CEG47634	CEG47634	8
CEG43857	CEG43857	8
CEG39845	CEG39845	8
CEG48336	CEG48336	8
CEG39683	CEG39683	8
CEG46854	CEG46854	8
CEG38768	CEG38768	8
CEG46957	CEG46957	8
CEG41074	CEG41074	8
CEG37842	CEG37842	8
CEG50244	CEG50244	8
CEG43506	CEG43506	8
CEG44896	CEG44896	8
CEG49249	CEG49249	8
CEG47512	CEG47512	8
CEG44804	CEG44804	8
CEG42460	CEG42460	8
CEG42541	CEG42541	8
CEG43567	CEG43567	8
CEG45448	CEG45448	8
CEG45113	CEG45113	8
CEG42548	CEG42548	8
CEG38490	CEG38490	8
CEG44633	CEG44633	8
CEG49930	CEG49930	8
CEG36810	CEG36810	8
CEG47043	CEG47043	8
CEG48335	CEG48335	8
CEG39182	CEG39182	8
CEG46790	CEG46790	8
CEG42942	CEG42942	8
CEG41993	CEG41993	8
CEG38849	CEG38849	8
CEG39038	CEG39038	8
CEG43186	CEG43186	8
CEG49374	CEG49374	8
CEG47422	CEG47422	8
CEG39961	CEG39961	8
CEG45837	CEG45837	8
CEG42199	CEG42199	8
CEG47344	CEG47344	8
CEG42282	CEG42282	8
ENSRNAG00050153336	ENSRNAG00050153336	8
CEG36366	CEG36366	9
CEG38309	CEG38309	9
CEG42075	CEG42075	9
CEG42505	CEG42505	9
CEG49581	CEG49581	9
CEG43097	CEG43097	9
CEG46355	CEG46355	9
CEG38506	CEG38506	9
CEG42158	CEG42158	9
CEG41908	CEG41908	9
CEG43984	CEG43984	9
CEG37634	CEG37634	9
CEG41268	CEG41268	9
CEG48399	CEG48399	9
CEG50347	CEG50347	9
CEG36444	CEG36444	9
CEG36325	CEG36325	9
CEG40468	CEG40468	9
CEG37828	CEG37828	9
CEG49615	CEG49615	9
CEG46444	CEG46444	9
CEG41861	CEG41861	9
CEG44284	CEG44284	9
CEG42695	CEG42695	9
CEG42077	CEG42077	9
CEG41030	CEG41030	9
CEG36753	CEG36753	9
CEG45960	CEG45960	9
CEG46013	CEG46013	9
CEG38726	CEG38726	9
CEG35524	CEG35524	9
CEG44169	CEG44169	9
CEG42817	CEG42817	9
CEG39646	CEG39646	9
CEG42338	CEG42338	9
CEG44267	CEG44267	9
CEG41777	CEG41777	9
CEG39133	CEG39133	9
CEG43541	CEG43541	9
CEG38183	CEG38183	9
CEG43579	CEG43579	9
CEG42727	CEG42727	9
CEG35204	CEG35204	9
CEG42069	CEG42069	9
CEG46941	CEG46941	9
CEG35076	CEG35076	9
CEG50294	CEG50294	9
CEG36072	CEG36072	9
CEG43518	CEG43518	9
CEG39950	CEG39950	9
CEG50510	CEG50510	9
CEG50475	CEG50475	9
CEG36704	CEG36704	9
CEG43666	CEG43666	9
CEG36674	CEG36674	9
CEG38443	CEG38443	9
CEG41852	CEG41852	9
CEG48687	CEG48687	9
CEG45091	CEG45091	9
CEG37632	CEG37632	9
CEG48262	CEG48262	9
CEG39033	CEG39033	9
CEG46037	CEG46037	9
CEG41724	CEG41724	9
CEG40880	CEG40880	9
CEG42980	CEG42980	9
CEG37343	CEG37343	9
CEG46888	CEG46888	9
CEG45094	CEG45094	9
CEG47820	CEG47820	9
CEG40807	CEG40807	9
CEG47760	CEG47760	9
CEG39032	CEG39032	9
CEG35795	CEG35795	9
CEG44535	CEG44535	9
CEG41853	CEG41853	9
CEG44987	CEG44987	9
CEG45694	CEG45694	9
CEG44094	CEG44094	9
CEG49079	CEG49079	9
CEG36638	CEG36638	11
CEG41450	CEG41450	11
CEG41037	CEG41037	11
CEG38124	CEG38124	11
CEG43109	CEG43109	11
CEG49706	CEG49706	11
CEG35727	CEG35727	11
CEG43061	CEG43061	11
CEG42815	CEG42815	11
CEG49494	CEG49494	11
CEG49157	CEG49157	11
CEG40753	CEG40753	11
CEG48488	CEG48488	11
CEG37556	CEG37556	11
CEG42233	CEG42233	11
CEG37156	CEG37156	11
CEG44849	CEG44849	11
CEG44583	CEG44583	11
CEG39311	CEG39311	11
CEG42358	CEG42358	11
CEG36826	CEG36826	11
CEG47354	CEG47354	11
CEG35197	CEG35197	11
CEG43334	CEG43334	11
CEG44700	CEG44700	11
CEG38783	CEG38783	11
CEG40053	CEG40053	11
CEG50138	CEG50138	11
CEG40174	CEG40174	11
CEG45186	CEG45186	11
CEG43338	CEG43338	11
CEG35752	CEG35752	11
CEG45312	CEG45312	11
CEG36120	CEG36120	11
CEG35107	CEG35107	11
CEG49822	CEG49822	11
CEG46021	CEG46021	11
CEG50505	CEG50505	11
CEG49566	CEG49566	11
CEG45795	CEG45795	11
CEG44372	CEG44372	11
CEG48392	CEG48392	11
CEG46769	CEG46769	11
CEG47941	CEG47941	11
CEG37134	CEG37134	11
CEG38916	CEG38916	11
CEG38396	CEG38396	11
CEG38654	CEG38654	11
CEG35073	CEG35073	11
CEG40929	CEG40929	11
CEG36550	CEG36550	11
CEG36364	CEG36364	11
CEG38746	CEG38746	11
CEG39092	CEG39092	11
CEG45672	CEG45672	11
CEG35699	CEG35699	11
CEG42299	CEG42299	11
CEG39233	CEG39233	11
CEG37783	CEG37783	11
CEG37349	CEG37349	11
CEG40962	CEG40962	11
CEG43707	CEG43707	11
CEG46045	CEG46045	11
CEG39859	CEG39859	11
CEG44300	CEG44300	11
CEG39194	CEG39194	11
CEG40682	CEG40682	11
CEG35531	CEG35531	11
CEG43482	CEG43482	11
CEG37072	CEG37072	11
CEG35914	CEG35914	11
CEG46041	CEG46041	11
CEG37166	CEG37166	11
CEG50007	CEG50007	11
CEG35587	CEG35587	11
CEG45560	CEG45560	11
CEG48726	CEG48726	11
CEG44936	CEG44936	11
CEG49947	CEG49947	11
CEG38089	CEG38089	11
CEG36534	CEG36534	11
CEG49057	CEG49057	11
CEG36111	CEG36111	11
CEG37833	CEG37833	11
CEG41785	CEG41785	11
CEG40116	CEG40116	11
CEG35910	CEG35910	11
CEG48956	CEG48956	11
CEG47188	CEG47188	11
CEG46482	CEG46482	11
CEG45588	CEG45588	11
CEG47357	CEG47357	11
CEG41075	CEG41075	11
CEG45979	CEG45979	11
CEG35320	CEG35320	11
CEG48192	CEG48192	11
CEG42236	CEG42236	11
CEG38811	CEG38811	11
CEG46768	CEG46768	11
CEG36827	CEG36827	11
CEG47258	CEG47258	11
CEG40306	CEG40306	11
CEG37177	CEG37177	11
CEG36824	CEG36824	11
CEG36793	CEG36793	11
CEG50034	CEG50034	11
CEG44976	CEG44976	11
CEG36679	CEG36679	11
CEG47109	CEG47109	11
CEG43850	CEG43850	11
CEG43431	CEG43431	11
CEG39301	CEG39301	11
CEG38666	CEG38666	11
CEG39318	CEG39318	11
CEG39052	CEG39052	11
CEG37690	CEG37690	11
CEG46841	CEG46841	11
CEG46040	CEG46040	11
CEG40681	CEG40681	11
CEG47787	CEG47787	11
CEG48492	CEG48492	11
CEG36983	CEG36983	11
CEG35876	CEG35876	11
CEG47822	CEG47822	11
CEG42160	CEG42160	11
CEG47384	CEG47384	11
CEG37356	CEG37356	11
CEG40711	CEG40711	11
CEG50487	CEG50487	11
CEG40919	CEG40919	11
CEG37987	CEG37987	11
CEG40048	CEG40048	11
CEG45401	CEG45401	11
CEG39044	CEG39044	11
CEG39237	CEG39237	11
CEG49423	CEG49423	11
CEG39290	CEG39290	11
CEG36855	CEG36855	11
CEG43834	CEG43834	11
CEG47124	CEG47124	11
CEG46701	CEG46701	11
CEG37508	CEG37508	11
CEG42041	CEG42041	11
CEG36240	CEG36240	11
CEG39199	CEG39199	11
CEG42056	CEG42056	11
CEG36919	CEG36919	11
CEG40365	CEG40365	11
CEG37883	CEG37883	11
CEG35709	CEG35709	11
CEG43156	CEG43156	11
CEG42284	CEG42284	11
CEG48537	CEG48537	11
CEG48796	CEG48796	11
CEG46602	CEG46602	11
CEG47942	CEG47942	11
CEG46044	CEG46044	11
CEG42731	CEG42731	11
CEG45144	CEG45144	11
CEG47670	CEG47670	11
CEG37677	CEG37677	11
CEG48958	CEG48958	11
CEG45949	CEG45949	11
CEG49196	CEG49196	11
CEG43695	CEG43695	11
CEG35858	CEG35858	11
CEG37641	CEG37641	11
CEG35115	CEG35115	11
CEG48461	CEG48461	11
CEG45527	CEG45527	11
CEG45932	CEG45932	11
CEG49203	CEG49203	11
CEG38031	CEG38031	11
CEG41509	CEG41509	11
CEG46300	CEG46300	11
CEG41161	CEG41161	11
CEG40201	CEG40201	11
CEG35640	CEG35640	11
CEG38331	CEG38331	11
CEG47843	CEG47843	11
CEG38452	CEG38452	11
CEG47829	CEG47829	11
CEG35913	CEG35913	11
CEG49127	CEG49127	11
CEG38765	CEG38765	11
CEG36568	CEG36568	11
CEG43995	CEG43995	11
CEG44087	CEG44087	11
CEG36609	CEG36609	11
CEG45276	CEG45276	11
CEG37820	CEG37820	11
CEG36538	CEG36538	11
CEG40957	CEG40957	11
CEG42344	CEG42344	11
CEG35445	CEG35445	11
CEG48135	CEG48135	11
CEG49448	CEG49448	11
CEG36481	CEG36481	11
CEG45521	CEG45521	11
CEG37788	CEG37788	11
CEG47699	CEG47699	11
CEG35751	CEG35751	11
CEG37675	CEG37675	11
CEG49502	CEG49502	11
CEG42178	CEG42178	11
CEG40830	CEG40830	11
CEG44186	CEG44186	11
CEG48498	CEG48498	11
CEG48288	CEG48288	11
CEG42765	CEG42765	11
CEG35991	CEG35991	11
CEG40784	CEG40784	11
CEG40771	CEG40771	11
CEG40073	CEG40073	11
CEG47570	CEG47570	11
CEG44907	CEG44907	11
CEG46331	CEG46331	11
CEG35647	CEG35647	11
CEG43708	CEG43708	11
CEG50095	CEG50095	11
CEG42899	CEG42899	11
CEG36053	CEG36053	11
CEG39619	CEG39619	11
CEG36353	CEG36353	11
CEG48460	CEG48460	11
CEG44212	CEG44212	11
CEG40135	CEG40135	11
CEG44293	CEG44293	11
CEG49732	CEG49732	11
CEG43890	CEG43890	11
CEG45327	CEG45327	11
CEG44607	CEG44607	11
CEG46253	CEG46253	11
CEG45519	CEG45519	11
CEG44489	CEG44489	11
CEG35122	CEG35122	11
CEG49666	CEG49666	11
CEG46709	CEG46709	11
CEG49111	CEG49111	11
CEG49648	CEG49648	11
CEG48866	CEG48866	11
CEG43608	CEG43608	11
CEG42910	CEG42910	11
CEG49728	CEG49728	11
CEG44656	CEG44656	11
CEG36982	CEG36982	11
CEG45532	CEG45532	11
CEG48645	CEG48645	11
CEG42327	CEG42327	11
CEG36556	CEG36556	11
CEG42647	CEG42647	11
CEG43098	CEG43098	11
CEG48666	CEG48666	11
CEG48055	CEG48055	11
CEG35141	CEG35141	11
CEG36726	CEG36726	11
CEG37378	CEG37378	11
CEG50214	CEG50214	11
CEG41641	CEG41641	11
CEG48382	CEG48382	11
CEG46200	CEG46200	11
CEG40484	CEG40484	11
CEG49011	CEG49011	11
CEG35907	CEG35907	11
CEG36065	CEG36065	11
CEG45824	CEG45824	11
CEG37986	CEG37986	11
CEG35089	CEG35089	11
CEG35392	CEG35392	11
CEG45244	CEG45244	11
CEG39562	CEG39562	11
CEG44623	CEG44623	11
CEG36270	CEG36270	11
CEG49703	CEG49703	11
CEG41675	CEG41675	11
CEG36703	CEG36703	11
CEG39587	CEG39587	11
CEG42867	CEG42867	11
CEG49121	CEG49121	11
CEG48259	CEG48259	11
CEG41273	CEG41273	11
CEG39673	CEG39673	11
CEG37920	CEG37920	11
CEG46124	CEG46124	11
CEG48867	CEG48867	11
CEG40752	CEG40752	11
CEG46599	CEG46599	11
CEG48142	CEG48142	11
CEG35534	CEG35534	11
CEG40335	CEG40335	11
CEG42573	CEG42573	11
CEG42176	CEG42176	11
CEG35194	CEG35194	11
CEG42157	CEG42157	11
CEG45050	CEG45050	11
CEG41819	CEG41819	11
CEG39631	CEG39631	11
CEG48670	CEG48670	11
CEG43174	CEG43174	11
CEG46190	CEG46190	11
CEG46285	CEG46285	11
CEG47844	CEG47844	11
CEG46667	CEG46667	11
CEG37286	CEG37286	11
CEG44541	CEG44541	11
CEG40292	CEG40292	11
CEG44395	CEG44395	11
CEG36632	CEG36632	11
CEG41768	CEG41768	11
CEG45969	CEG45969	11
CEG40081	CEG40081	11
CEG37247	CEG37247	11
CEG50405	CEG50405	11
CEG43249	CEG43249	11
CEG46928	CEG46928	11
CEG36098	CEG36098	11
CEG40952	CEG40952	11
CEG40202	CEG40202	11
CEG36934	CEG36934	11
CEG44858	CEG44858	11
CEG47892	CEG47892	11
CEG37649	CEG37649	11
CEG45921	CEG45921	11
CEG47704	CEG47704	11
CEG48551	CEG48551	11
CEG46628	CEG46628	11
CEG36680	CEG36680	11
CEG38801	CEG38801	11
CEG36082	CEG36082	11
CEG37784	CEG37784	11
CEG35931	CEG35931	11
CEG38300	CEG38300	11
CEG38608	CEG38608	11
CEG39972	CEG39972	11
CEG43902	CEG43902	11
CEG46641	CEG46641	11
CEG44693	CEG44693	11
CEG35192	CEG35192	11
CEG41903	CEG41903	11
CEG50133	CEG50133	11
CEG48872	CEG48872	11
CEG36400	CEG36400	11
CEG41019	CEG41019	11
CEG35759	CEG35759	11
CEG40825	CEG40825	11
CEG37113	CEG37113	11
CEG35170	CEG35170	11
CEG44695	CEG44695	11
CEG41913	CEG41913	11
CEG42895	CEG42895	11
CEG46054	CEG46054	11
CEG36264	CEG36264	11
CEG39403	CEG39403	11
CEG43800	CEG43800	11
CEG35283	CEG35283	11
CEG45635	CEG45635	11
CEG36719	CEG36719	11
CEG38152	CEG38152	11
CEG48221	CEG48221	11
CEG39006	CEG39006	11
CEG44098	CEG44098	11
CEG43062	CEG43062	11
CEG35193	CEG35193	11
CEG41526	CEG41526	11
CEG39892	CEG39892	11
CEG39389	CEG39389	11
CEG48487	CEG48487	11
CEG40328	CEG40328	11
CEG36692	CEG36692	11
CEG38508	CEG38508	11
CEG49984	CEG49984	11
CEG43325	CEG43325	11
CEG46069	CEG46069	11
CEG41624	CEG41624	11
CEG48890	CEG48890	11
CEG43208	CEG43208	11
CEG45004	CEG45004	11
CEG41046	CEG41046	11
CEG46509	CEG46509	11
CEG41080	CEG41080	11
CEG38711	CEG38711	11
CEG36418	CEG36418	11
CEG36815	CEG36815	11
CEG47407	CEG47407	11
CEG44606	CEG44606	11
CEG35360	CEG35360	11
CEG46590	CEG46590	11
CEG36651	CEG36651	11
CEG41597	CEG41597	11
CEG49070	CEG49070	11
CEG42737	CEG42737	11
CEG48275	CEG48275	11
CEG38143	CEG38143	11
CEG49505	CEG49505	11
CEG41723	CEG41723	11
CEG42607	CEG42607	11
CEG43261	CEG43261	11
CEG42429	CEG42429	11
CEG35090	CEG35090	11
CEG47226	CEG47226	11
CEG38375	CEG38375	11
CEG44824	CEG44824	11
CEG49834	CEG49834	11
CEG49447	CEG49447	11
CEG45561	CEG45561	11
CEG46134	CEG46134	11
CEG35979	CEG35979	11
CEG48117	CEG48117	11
CEG43524	CEG43524	11
CEG42249	CEG42249	11
CEG43833	CEG43833	11
CEG41337	CEG41337	11
CEG46483	CEG46483	11
CEG37189	CEG37189	11
CEG43553	CEG43553	11
CEG49387	CEG49387	11
CEG44364	CEG44364	11
CEG46201	CEG46201	11
CEG46387	CEG46387	11
CEG36608	CEG36608	11
CEG36933	CEG36933	11
CEG38011	CEG38011	11
CEG45504	CEG45504	11
CEG43516	CEG43516	11
CEG45922	CEG45922	11
CEG35530	CEG35530	11
CEG41530	CEG41530	11
CEG43531	CEG43531	11
CEG41356	CEG41356	11
CEG42047	CEG42047	11
CEG49755	CEG49755	11
CEG44151	CEG44151	11
CEG49074	CEG49074	11
CEG48045	CEG48045	11
CEG41608	CEG41608	11
CEG43090	CEG43090	11
CEG47115	CEG47115	11
CEG37950	CEG37950	11
CEG36710	CEG36710	11
CEG38764	CEG38764	11
CEG42256	CEG42256	11
CEG38475	CEG38475	11
CEG44769	CEG44769	11
CEG37787	CEG37787	11
CEG39013	CEG39013	11
CEG39259	CEG39259	11
CEG42766	CEG42766	11
CEG45586	CEG45586	11
CEG37885	CEG37885	11
CEG46430	CEG46430	11
CEG38817	CEG38817	11
CEG37111	CEG37111	11
CEG42911	CEG42911	11
CEG47032	CEG47032	11
CEG46807	CEG46807	11
CEG36619	CEG36619	11
CEG40933	CEG40933	11
CEG36076	CEG36076	11
CEG47833	CEG47833	11
CEG46159	CEG46159	11
CEG36994	CEG36994	11
CEG47206	CEG47206	11
CEG44668	CEG44668	11
CEG43139	CEG43139	11
CEG37963	CEG37963	11
CEG49550	CEG49550	11
CEG49592	CEG49592	11
CEG38423	CEG38423	11
CEG39500	CEG39500	11
CEG45296	CEG45296	11
CEG46933	CEG46933	11
CEG40991	CEG40991	11
CEG35846	CEG35846	11
CEG46436	CEG46436	11
CEG48696	CEG48696	11
CEG42659	CEG42659	11
CEG48094	CEG48094	11
CEG42866	CEG42866	11
CEG42472	CEG42472	11
CEG48714	CEG48714	11
CEG45997	CEG45997	11
CEG40210	CEG40210	11
CEG45832	CEG45832	11
CEG40969	CEG40969	11
CEG36110	CEG36110	11
CEG36027	CEG36027	11
CEG47672	CEG47672	11
CEG46412	CEG46412	11
CEG35993	CEG35993	11
CEG44153	CEG44153	11
CEG46495	CEG46495	11
CEG43326	CEG43326	11
CEG47781	CEG47781	11
CEG40535	CEG40535	11
CEG42610	CEG42610	11
CEG38268	CEG38268	11
CEG45587	CEG45587	11
CEG37056	CEG37056	11
CEG41333	CEG41333	11
CEG38634	CEG38634	11
CEG40677	CEG40677	11
CEG44009	CEG44009	11
CEG48222	CEG48222	11
CEG42712	CEG42712	11
CEG39258	CEG39258	11
CEG41288	CEG41288	11
CEG48763	CEG48763	11
CEG39310	CEG39310	11
CEG49827	CEG49827	11
CEG39914	CEG39914	11
CEG43153	CEG43153	11
CEG36872	CEG36872	11
CEG41514	CEG41514	11
CEG41170	CEG41170	11
CEG36981	CEG36981	11
CEG49440	CEG49440	11
CEG39729	CEG39729	11
CEG41555	CEG41555	11
CEG42089	CEG42089	11
CEG45433	CEG45433	11
CEG48735	CEG48735	11
CEG45930	CEG45930	11
CEG47212	CEG47212	11
CEG43580	CEG43580	11
CEG36396	CEG36396	11
CEG43896	CEG43896	11
CEG46460	CEG46460	11
CEG43253	CEG43253	11
CEG40782	CEG40782	11
CEG43033	CEG43033	11
CEG48106	CEG48106	11
CEG44292	CEG44292	11
CEG44837	CEG44837	11
CEG49265	CEG49265	11
CEG45087	CEG45087	11
CEG42274	CEG42274	11
CEG43677	CEG43677	11
CEG41911	CEG41911	11
CEG43235	CEG43235	11
CEG43286	CEG43286	11
CEG39628	CEG39628	11
CEG35636	CEG35636	11
CEG49811	CEG49811	11
CEG50370	CEG50370	11
CEG48865	CEG48865	11
CEG38462	CEG38462	11
CEG42170	CEG42170	11
CEG48957	CEG48957	11
CEG49298	CEG49298	11
CEG43801	CEG43801	11
CEG39415	CEG39415	11
CEG39445	CEG39445	11
CEG49509	CEG49509	11
CEG40383	CEG40383	11
CEG38283	CEG38283	11
CEG45371	CEG45371	11
CEG48517	CEG48517	11
CEG39493	CEG39493	11
CEG44010	CEG44010	11
CEG39803	CEG39803	11
CEG45056	CEG45056	11
